"ano","mes","Custo"
2018,"out",347.49
2018,"nov",351.8
2018,"dez",351.44
2019,"fev",353.35
2019,"mar",378.8
2019,"abr",382.63
2019,"mai",366.59
2019,"jun",377.44
2019,"jul",369.8
2019,"ago",351.8
2019,"set",351.18
2019,"out",355.86
2019,"nov",370.84
2019,"dez",395.62
2020,"jan",379.96
2020,"fev",375.98
2020,"mar",410.72
2020,"abr",450.49
2020,"mai",431.19
2020,"jun",428.08
2020,"jul",400.93
2020,"ago",402.98
2020,"set",433.94
2020,"out",487.35
2020,"nov",506.4
2020,"dez",537.5
2021,"jan",557.26
2021,"fev",530.66
2021,"mar",517.63
2021,"abr",522.57
2021,"mai",520.64
2021,"jun",511.99
2021,"jul",533.05
2021,"ago",539.54
2021,"set",551.38
2021,"out",584.93
2021,"nov",565.89
2021,"dez",545.86
2022,"jan",564.81
2022,"fev",580.58
2022,"mar",646.57
2022,"abr",656.85
2022,"mai",629.32
2022,"jun",599.22
2022,"jul",621.21
2022,"ago",606.55
2022,"set",599.23
2022,"out",593.25
2022,"nov",615.27
2022,"dez",598.28
2023,"jan",611.8
2023,"fev",613.28
2023,"mar",594.9
2023,"abr",639.94
2023,"mai",643.41
2023,"jun",649.27
2023,"jul",629.74
2023,"ago",604.52
2023,"set",613.51
2023,"out",607.81
2023,"nov",613.85
2023,"dez",620.62
2024,"jan",646.78
2024,"fev",612.96
2024,"mar",634.47
2024,"abr",634.77
2024,"mai",655.32
2024,"jun",656.62
2024,"jul",622.37
2024,"ago",599.6
2024,"set",618.13
